1  205,krowa
2  124,białe
3  40,matki
4  33,PUSTE
5  30,biały
6  23,krowie
7  22,biel
8  19,płatki
9  18,kawa
  14,rozlane
15  13,nabiał
16  12,kwaśne
17  10,biale
18  10,łaciate
19  10,woda
20  10,zsiadłe
21  9,kot
22  9,pić
23  9,ser
24  9,świeże
25  8,matka
26  7,białę
27  7,"od krowy"
28  6,kozie
29  5,chleb
30  5,kakao
  5,szklanka
  5,uht
  5,zimne
  4,jogurt
  4,koza
  4,masło
  4,picie
  4,śmietana
  3,białko
  3,butelka
  3,ciepłe
  3,dziecko
  3,miód
  3,mleko
  3,napój
  3,tłuste
  3,tłuszcz
  2,"i miód"
  2,kwaśny
  2,nabial
  2,nos
  2,odtłuszczone
  2,pełne
  2,pierś
  2,pije
  2,platki
  2,"pod nosem"
  2,proszek
  2,rozlać
  2,skisłe
  2,sojowe
  2,ssać
  2,śniadanie
  2,świerze
  2,"w proszku"
  1,<3
  1,"0,5%"
  1,"3,2%"
  1,alergia
  1,"bez tłuszczu"
  1,"bia łe"
  1,biało
  1,biel;
  1,ból
  1,bułka
  1,było
  1,ch;eb
  1,chrupki
  1,"chyba żartujecie że tu jest tyle pytań"
  1,ciastko
  1,ciele
  1,cieple
  1,cyc
  1,cycki
  1,dobre
  1,dom
  1,dzbanek
  1,dzwoni
  1,fdnfdn
  1,jaja
  1,jasne
  1,jedzenie
  1,jezenie
  1,karotn
  1,karton
  1,kartonik
  1,kipi
  1,kis
  1,kolor
  1,kożuch
  1,krew
  1,krowa]
  1,krzepi
  1,ktrowa
  1,kubek
  1,laktoza
  1,łatki
  1,łaty
  1,mama
  1,maslo
  1,maślanka
  1,matkli
  1,mąka
  1,miłość
  1,mleczne
  1,młodość
  1,motyla
  1,mtka
  1,naturalne
  1,nic
  1,opicie
  1,owca
  1,pic
  1,pij
  1,"płatki śniadaniowe"
  1,płyn
  1,"pod wąsem"
  1,poranek
  1,procent
  1,procenty
  1,rano
  1,samo
  1,sdrfg
  1,"się rozlało"
  1,skiśnięte
  1,skondensowane
  1,skoro
  1,smak
  1,smród
  1,ssiadłe
  1,swieże
  1,sztuczne
  1,śmietan
  1,trololol
  1,uczulenie
  1,"w kartonie"
  1,wapń
  1,wielbąławd
  1,wielki
  1,wita
  1,wódka
  1,wylało
  1,"wylało się"
  1,wypite
  1,"z nosa"
  1,zdrowie
  1,zepsute
  1,złe
  1,zomfg
  1,zsiadle
  1,zsiadłę
  1,"zupa mleczna"
